date,open,high,low,close,volume
2024-12-31,22.73,22.94,22.25,22.47,7438443.0
2025-01-02,25.18,26.08,23.36,24.51,33318815.0
2025-01-03,24.45,24.9993,23.42,24.09,14011633.0
2025-01-06,24.55,25.8,24.535,24.94,10047609.0
2025-01-07,25.08,25.2,22.96,23.08,8764972.0
2025-01-08,22.57,23.54,22.16,22.95,8487331.0
2025-01-10,22.31,22.3376,20.89,20.9,9209145.0
2025-01-13,20.61,21.87,20.424,21.7,10615794.0
2025-01-14,21.89,22.55,21.84,21.96,7355228.0
2025-01-15,22.82,23.54,21.88,22.04,9447072.0
2025-01-16,21.91,22.14,21.38,21.75,6204896.0
2025-01-17,22.36,22.64,21.53,21.77,7608899.0
2025-01-21,21.87,22.7,21.34,22.18,7046446.0
2025-01-22,22.68,23.18,22.34,23.06,6946350.0
2025-01-23,23.1,23.795,22.8001,23.13,7628435.0
2025-01-24,23.22,23.58,22.24,22.32,9530500.0
2025-01-27,21.65,22.3,21.26,21.75,5505925.0
2025-01-28,22.07,23.49,21.58,23.25,9242685.0
2025-01-29,23.12,23.23,22.5001,22.94,4578267.0
2025-01-30,23.02,23.2304,22.47,23.01,4609692.0
2025-01-31,23.47,23.78,21.9613,22.2,7883726.0
2025-02-03,21.055,21.88,20.78,21.39,6001662.0
2025-02-04,21.78,22.07,21.37,21.47,4197290.0
2025-02-05,21.36,21.5397,20.93,21.11,5867278.0
2025-02-06,20.98,21.8,20.9101,21.19,7979079.0
2025-02-07,21.2,21.7411,20.95,21.04,5717244.0
2025-02-10,21.34,21.75,20.26,20.4,9635297.0
2025-02-11,20.01,20.165,19.44,19.5,10622913.0
2025-02-12,19.22,19.53,19.0598,19.44,7401298.0
2025-02-13,20.63,21.11,19.942,20.74,14695386.0
2025-02-14,21.15,21.58,20.96,21.51,9453987.0
2025-02-18,21.7,22.05,21.24,21.82,11232174.0
2025-02-19,21.63,22.19,21.0,21.47,14323123.0
2025-02-20,24.68,28.01,24.49,28.0,64160011.0
2025-02-21,29.33,30.88,27.82,28.34,39844475.0
2025-02-24,27.0,28.1,26.32,27.28,28932460.0
2025-02-25,26.95,27.12,24.21,25.65,28402689.0
2025-02-26,25.99,27.63,25.95,26.51,14550792.0
2025-02-27,26.455,26.73,25.1,26.17,16923041.0
2025-02-28,25.5,26.57,25.091,25.64,13747422.0
2025-03-03,25.39,25.49,23.53,23.7,12122309.0
2025-03-04,23.26,25.345,22.66,24.72,14972644.0
2025-03-05,24.52,25.52,24.26,25.4,8323048.0
2025-03-06,24.76,25.13,22.88,23.16,9726762.0
2025-03-07,23.0,24.4096,22.33,24.19,13832396.0
2025-03-10,22.76,23.0,20.762,21.51,16258485.0
2025-03-11,22.03,22.09,20.785,20.97,14283052.0
2025-03-12,21.65,22.27,21.32,21.51,10816743.0
2025-03-13,21.04,21.59,20.01,20.48,8419804.0
2025-03-14,20.97,21.33,20.695,20.77,7249748.0
2025-03-17,20.7,21.92,20.61,21.46,6564583.0
2025-03-18,21.165,21.35,20.76,21.15,6850826.0
2025-03-19,21.27,21.94,21.1111,21.56,5738029.0
2025-03-20,21.19,21.78,20.908,21.03,4711419.0
2025-03-21,20.59,21.59,20.57,21.55,7853278.0
2025-03-24,22.21,22.88,22.21,22.73,6905711.0
2025-03-25,22.82,23.66,22.76,22.89,6404137.0
2025-03-26,22.51,22.6959,21.7,22.07,6444804.0
2025-03-27,21.79,22.0,21.12,21.58,7282005.0
2025-03-28,21.33,21.7,20.105,20.54,11066394.0
2025-03-31,19.82,19.85,18.89,19.59,9132518.0
2025-04-01,19.8,20.42,19.365,20.19,6629647.0
2025-04-02,19.73,21.155,19.7,20.91,6540097.0
2025-04-03,19.26,19.48,17.72,18.19,12661169.0
2025-04-04,17.3,17.62,16.115,16.92,13056522.0
2025-04-07,16.0,18.27,15.33,17.25,18499988.0
2025-04-08,18.12,18.29,16.38,16.75,12877870.0
2025-04-09,16.77,20.3667,16.685,19.99,13040810.0
2025-04-10,19.09,19.27,17.97,19.08,9186808.0
2025-04-11,18.9,19.26,18.26,19.23,5940805.0
2025-04-14,19.72,19.92,18.12,18.16,9912301.0
2025-04-15,18.17,18.8699,18.17,18.82,6044571.0
