date,open,high,low,close,volume
2024-06-03,494.13,498.68,493.07,497.44,2795265.0
2024-06-04,498.56,508.27,494.59,505.49,3178436.0
2024-06-05,508.7,509.1,498.8,503.12,2464359.0
2024-06-06,503.65,504.695,497.28,501.92,2419608.0
2024-06-07,502.04,502.86,490.42,490.69,3416349.0
2024-06-10,491.0,495.39,486.19,495.0,3332892.0
2024-06-11,490.86,497.78,490.285,496.22,4599726.0
2024-06-12,500.0,500.0,487.415,493.07,4048214.0
2024-06-13,490.28,502.0,484.38,497.3,4951694.0
2024-06-14,496.83,497.85,491.73,497.12,3188374.0
2024-06-17,491.33,493.12,488.695,489.23,2407163.0
2024-06-18,490.71,491.655,479.04,481.05,3692708.0
2024-06-20,480.04,485.92,478.11,484.52,5258232.0
2024-06-21,484.44,488.3,480.59,482.59,6775974.0
2024-06-24,488.86,490.89,484.5,489.98,5139763.0
2024-06-25,490.64,490.64,480.6,484.5,3209889.0
2024-06-26,484.5,487.44,481.47,484.04,3153096.0
2024-06-27,485.05,488.975,482.05,486.44,2992070.0
2024-06-28,496.37,509.4,489.405,509.26,22734197.0
2024-07-01,506.745,508.91,492.891,494.65,4523141.0
2024-07-02,494.26,498.47,493.39,498.24,3312171.0
2024-07-03,497.12,498.08,486.52,489.89,2239210.0
2024-07-05,489.0,489.67,484.5,488.01,3498996.0
2024-07-08,489.19,493.88,486.17,489.34,3450841.0
2024-07-09,488.33,495.4,486.09,492.11,3057284.0
2024-07-10,490.94,501.5,490.1201,500.93,3189837.0
2024-07-11,497.7,508.73,497.7,504.36,3536225.0
2024-07-12,506.92,514.57,503.43,511.53,3570624.0
2024-07-15,524.24,530.83,513.8,515.37,5127979.0
2024-07-16,533.9,549.92,527.13,548.87,11061994.0
2024-07-17,554.0,573.61,551.3,573.28,10330780.0
2024-07-18,564.5,581.5,561.4201,564.34,6834821.0
2024-07-19,567.12,569.9,561.54,565.33,4290440.0
2024-07-22,563.05,564.25,557.08,558.53,3377308.0
2024-07-23,558.79,558.835,552.8102,554.7,2785570.0
2024-07-24,560.0,561.13,553.02,559.75,3156232.0
2024-07-25,562.0,569.89,558.58,559.68,3102947.0
2024-07-26,560.0,579.13,560.0,569.72,3202023.0
2024-07-29,565.71,571.35,561.76,566.75,2965169.0
2024-07-30,566.9,579.4299,565.99,576.33,4139053.0
2024-07-31,565.44,580.9032,562.32,576.16,4713230.0
2024-08-01,577.2,587.5,567.1,572.77,3680778.0
2024-08-02,582.33,591.54,575.25,589.83,5094041.0
2024-08-05,582.12,586.82,566.7624,569.96,4587352.0
2024-08-06,568.21,577.52,562.53,568.35,3216525.0
2024-08-07,566.61,571.65,557.025,566.08,4320853.0
2024-08-08,564.37,572.45,564.37,566.24,2860848.0
2024-08-09,564.54,565.93,557.63,558.76,2976835.0
2024-08-12,562.32,569.0,561.05,565.29,2532389.0
2024-08-13,569.99,575.73,569.0,574.24,2369555.0
2024-08-14,575.24,581.115,573.2677,579.67,2344386.0
2024-08-15,579.67,583.34,573.51,579.61,2751927.0
2024-08-16,580.92,581.65,574.1,577.68,2728939.0
2024-08-19,578.08,583.3,577.07,578.78,1847941.0
2024-08-20,579.85,583.81,575.5,580.65,1677473.0
2024-08-21,581.51,583.39,577.43,578.07,2844546.0
2024-08-22,579.25,582.95,570.62,578.72,2282117.0
2024-08-23,581.0,585.205,578.45,584.51,2376416.0
2024-08-26,588.05,592.09,585.74,587.13,1800112.0
2024-08-27,589.47,592.34,583.78,587.35,1581952.0
2024-08-28,589.01,592.84,583.87,588.54,1657042.0
2024-08-29,590.68,592.61,584.37,591.57,1953372.0
2024-08-30,590.0,593.255,586.59,590.2,2944705.0
2024-09-03,592.52,600.6599,591.82,598.68,3175479.0
2024-09-04,600.0,607.94,597.88,604.18,2788868.0
2024-09-05,604.19,606.0,589.67,595.49,2144906.0
2024-09-06,595.87,600.61,592.26,596.88,2926369.0
2024-09-09,598.32,599.48,575.27,594.1,3411393.0
2024-09-10,595.21,604.7992,591.15,599.03,2863494.0
2024-09-11,589.14,591.4,578.97,589.75,3563783.0
2024-09-12,588.53,590.51,583.21,588.42,3395835.0
2024-09-13,591.08,597.68,587.23,594.32,2242003.0
2024-09-16,595.0,598.79,587.76,589.14,2548647.0
2024-09-17,586.01,586.715,576.39,577.96,3415975.0
2024-09-18,576.86,584.52,572.31,580.65,2988303.0
2024-09-19,583.72,584.83,574.58,577.07,2945679.0
2024-09-20,571.695,578.84,569.65,575.0,5398749.0
2024-09-23,576.49,579.435,572.0,573.41,2386142.0
2024-09-24,570.82,577.31,566.0,575.19,3188511.0
2024-09-25,577.87,581.11,573.08,576.31,2658894.0
2024-09-26,575.0,576.6,570.91,574.81,2751960.0
2024-09-27,577.68,586.71,576.59,581.85,2986238.0
2024-09-30,583.5,586.42,578.74,584.68,3009766.0
2024-10-01,585.0,588.7,580.765,583.3,2648628.0
2024-10-02,604.26,604.52,584.25,592.31,3667113.0
2024-10-03,590.61,593.23,584.365,592.75,2645877.0
2024-10-04,592.13,596.13,588.4399,591.2,2463201.0
2024-10-07,588.79,592.44,583.33,583.56,2591083.0
2024-10-08,588.06,589.21,579.56,581.58,2231446.0
2024-10-09,582.16,592.7999,580.6139,591.22,2207858.0
2024-10-10,595.18,598.95,592.76,597.7,2143284.0
2024-10-11,596.49,601.5225,596.2,598.05,1909733.0
2024-10-14,599.11,608.63,597.38,605.4,2447087.0
2024-10-15,552.02,569.7,543.0,556.29,11939357.0
2024-10-16,557.01,576.1799,555.12,571.34,5103928.0
2024-10-17,560.58,569.47,558.72,566.03,5588677.0
2024-10-18,566.85,570.95,563.0357,569.61,3687045.0
2024-10-21,569.64,579.275,568.7,571.47,3018013.0
2024-10-22,567.85,573.04,565.49,569.86,2594048.0
2024-10-23,572.13,574.14,560.0,564.64,2912085.0
2024-10-24,564.99,571.7,560.31,560.81,2590197.0
2024-10-25,566.16,571.5,563.61,564.56,2513728.0
2024-10-28,566.25,568.33,562.81,565.24,1826559.0
2024-10-29,562.82,567.68,560.655,562.13,2600448.0
2024-10-30,561.25,570.311,560.95,562.96,2323558.0
2024-10-31,560.88,568.45,560.88,564.5,2490014.0
2024-11-01,565.12,570.325,563.9,567.56,2548368.0
2024-11-04,566.74,568.59,555.415,557.77,2656777.0
2024-11-05,558.28,568.74,554.4,567.03,2608133.0
2024-11-06,603.895,605.5,590.8501,596.69,6591301.0
2024-11-07,598.69,607.6418,596.15,605.45,5254274.0
2024-11-08,609.0,619.8,605.2,615.81,3875838.0
2024-11-11,616.895,630.73,613.9225,625.25,3003242.0
2024-11-12,619.58,624.48,613.775,614.67,2809603.0
2024-11-13,613.0,613.005,603.06,605.87,3409793.0
2024-11-14,603.48,606.0,588.99,593.15,3079199.0
2024-11-15,591.92,598.93,589.95,592.23,3423919.0
2024-11-18,589.44,594.14,585.32,589.65,2577124.0
2024-11-19,582.72,586.835,576.77,577.0,3198346.0
2024-11-20,582.71,602.6436,581.55,600.5,3928765.0
2024-11-21,600.0,604.0,596.73,597.49,2722929.0
2024-11-22,598.56,601.26,588.675,590.87,3198124.0
2024-11-25,597.58,609.84,595.01,605.83,5146485.0
2024-11-26,608.24,608.47,598.88,606.79,2693612.0
2024-11-27,611.03,617.45,606.7,608.38,2269792.0
2024-11-29,608.8,615.78,606.62,610.2,2010812.0
2024-12-02,614.0,614.0,600.77,608.52,3365099.0
2024-12-03,610.85,615.75,604.82,605.23,2329878.0
2024-12-04,611.02,622.83,606.97,610.79,4147575.0
2024-12-05,605.64,608.9899,573.885,578.97,5943684.0
2024-12-06,582.105,582.105,544.1401,549.62,13003644.0
2024-12-09,552.0,562.98,544.6412,560.62,7684650.0
2024-12-10,562.0,567.7499,557.0301,565.19,5360590.0
2024-12-11,555.655,558.1,532.67,533.53,10362991.0
2024-12-12,531.53,534.0,514.19,515.76,9403795.0
2024-12-13,515.64,527.53,510.72,520.48,8202905.0
