date,open,high,low,close,volume
2024-10-02,14.58,14.815,14.42,14.78,579695.0
2024-10-03,14.52,14.64,14.4,14.58,376622.0
2024-10-04,14.81,14.95,14.535,14.68,379439.0
2024-10-07,14.63,14.68,13.48,13.57,1034123.0
2024-10-08,13.36,13.78,13.18,13.61,706230.0
2024-10-09,13.65,13.86,13.4,13.52,677382.0
2024-10-10,13.37,13.565,13.2,13.46,796456.0
2024-10-11,13.46,13.6799,13.46,13.57,427169.0
2024-10-14,13.54,13.85,13.29,13.61,397737.0
2024-10-15,13.71,14.2,13.66,13.99,535606.0
2024-10-16,14.09,14.42,13.985,14.03,360866.0
2024-10-17,13.93,14.11,13.73,14.06,554329.0
2024-10-18,14.09,14.1399,13.8018,14.01,715847.0
2024-10-21,14.04,14.11,13.7,13.74,740800.0
2024-10-22,13.61,13.73,13.14,13.49,844286.0
2024-10-23,13.4,13.55,13.06,13.21,828906.0
2024-10-24,13.26,13.84,13.1626,13.68,719736.0
2024-10-25,13.78,13.93,13.29,13.41,687297.0
2024-10-28,13.5,13.81,13.28,13.31,747350.0
2024-10-29,13.19,13.3,12.73,12.86,668497.0
2024-10-30,12.63,13.315,12.63,13.25,609575.0
2024-10-31,13.14,13.27,12.69,12.71,886341.0
2024-11-01,13.08,13.45,12.9463,13.36,1713654.0
2024-11-04,12.74,13.135,11.753,12.0,2051725.0
2024-11-05,11.82,11.89,11.42,11.8,1273270.0
2024-11-06,12.58,13.64,12.39,13.61,1395980.0
2024-11-07,13.74,13.74,12.555,12.76,999735.0
2024-11-08,12.74,13.03,12.34,12.9,916770.0
2024-11-11,13.01,13.56,12.94,13.37,691405.0
2024-11-12,13.24,13.32,12.84,12.93,558695.0
2024-11-13,12.88,13.0147,12.24,12.28,665507.0
2024-11-14,12.21,12.33,11.98,12.27,594566.0
2024-11-15,12.43,12.43,12.03,12.26,446149.0
2024-11-18,12.26,12.58,12.21,12.26,474159.0
2024-11-19,12.12,12.49,12.08,12.41,351894.0
2024-11-20,12.41,12.46,11.791,11.89,562723.0
2024-11-21,11.82,12.27,11.75,12.23,376669.0
2024-11-22,12.26,12.63,12.05,12.35,521025.0
2024-11-25,12.49,14.04,12.49,13.65,1029806.0
2024-11-26,13.57,13.6587,12.855,13.19,478150.0
2024-11-27,13.26,13.79,13.23,13.31,354495.0
2024-11-29,13.48,13.56,13.3,13.47,212569.0
2024-12-02,13.47,14.1,13.445,14.1,629242.0
2024-12-03,14.1,14.43,13.98,14.34,590817.0
2024-12-04,14.4,14.88,14.18,14.73,646382.0
2024-12-05,14.74,14.74,13.85,13.87,493101.0
2024-12-06,14.15,14.37,13.57,13.63,332793.0
2024-12-09,14.0,14.46,13.865,14.15,490220.0
2024-12-10,14.12,14.39,13.795,14.17,364948.0
2024-12-11,14.27,14.59,13.96,14.45,444318.0
2024-12-12,14.47,14.59,14.01,14.25,513198.0
2024-12-13,14.24,14.24,13.75,13.94,305471.0
2024-12-16,13.9,14.0,13.51,13.63,441493.0
2024-12-17,13.38,13.61,12.84,13.27,602965.0
2024-12-18,13.41,13.51,12.5,12.55,570090.0
2024-12-19,12.53,12.66,12.01,12.62,729793.0
2024-12-20,12.48,13.2046,12.3,12.52,2813481.0
2024-12-23,12.44,12.9,12.31,12.56,617846.0
2024-12-24,12.55,12.73,12.3,12.72,195848.0
2024-12-26,12.57,12.985,12.44,12.97,342468.0
2024-12-27,12.86,13.05,12.35,12.95,637020.0
2024-12-30,12.8,12.93,12.4,12.66,482067.0
2024-12-31,12.78,13.31,12.69,13.07,654360.0
2025-01-02,13.31,13.355,12.705,12.85,360621.0
2025-01-03,12.93,13.11,12.56,13.06,372915.0
2025-01-06,13.26,13.79,13.195,13.36,595818.0
2025-01-07,13.44,13.94,13.37,13.84,532626.0
2025-01-08,13.72,14.77,13.495,14.41,1193778.0
2025-01-10,14.1,14.25,13.53,13.89,1086101.0
2025-01-13,13.85,14.71,13.65,14.57,875517.0
2025-01-14,14.59,14.77,14.15,14.74,519739.0
2025-01-15,15.36,15.53,14.81,14.97,390343.0
2025-01-16,14.84,14.89,14.51,14.54,314003.0
2025-01-17,14.75,14.75,14.34,14.58,335621.0
2025-01-21,14.79,15.0,14.59,14.92,382226.0
2025-01-22,14.83,15.015,14.65,14.85,368997.0
2025-01-23,14.77,15.1,14.76,14.83,475816.0
2025-01-24,14.7,15.18,14.65,14.94,315763.0
2025-01-27,15.03,15.54,14.925,15.07,585722.0
2025-01-28,15.13,15.18,14.92,14.98,369566.0
2025-01-29,14.95,15.16,14.775,14.92,319417.0
2025-01-30,15.02,15.13,14.38,14.6,307394.0
2025-01-31,14.57,14.735,14.095,14.24,428246.0
2025-02-03,12.8,13.0,8.76,9.23,6115528.0
2025-02-04,9.23,9.3199,8.76,9.14,3193918.0
2025-02-05,9.22,9.25,8.75,8.9,2476932.0
2025-02-06,9.0,9.07,8.57,8.65,1707020.0
2025-02-07,8.61,8.78,8.4325,8.65,1279938.0
2025-02-10,8.64,8.7499,8.3945,8.46,1070905.0
2025-02-11,8.31,8.555,8.2829,8.42,1229219.0
2025-02-12,8.26,8.35,8.08,8.19,974225.0
2025-02-13,8.28,8.33,7.64,7.74,1915215.0
2025-02-14,7.71,7.81,7.415,7.45,1560112.0
2025-02-18,7.4,7.5299,6.98,7.01,2970355.0
2025-02-19,6.97,7.0192,6.7,6.84,2171628.0
2025-02-20,6.75,6.8599,6.3,6.4,2500146.0
2025-02-21,6.45,6.5192,6.07,6.22,2242893.0
2025-02-24,6.31,6.6252,6.17,6.39,2761984.0
2025-02-25,6.54,7.1,6.54,7.05,3217713.0
2025-02-26,7.01,7.31,6.83,6.84,1711831.0
2025-02-27,6.83,6.985,6.745,6.89,1767319.0
2025-02-28,7.74,9.83,7.57,9.58,12108619.0
2025-03-03,9.4,9.74,8.83,9.32,3285016.0
